nr_lokalu	miesiac	czynsz	smieci	gaz	woda
04/004	2	684,96	70	8,5	65,62
04/004	3	684,96	70	8,5	65,62
04/004	4	684,96	74	8,5	71,05
04/004	5	684,96	74	8,5	71,05
04/004	6	684,96	74	8,5	71,05
04/004	7	851,61	78	16,5	64,76
04/004	8	851,61	78	16,5	64,76
04/004	9	851,61	78	16,5	64,76
04/004	10	851,61	82	16,5	84,19
04/004	11	851,61	82	16,5	84,19
04/004	12	851,61	82	16,5	84,19
04/005	1	622,13	70	8,5	69,42
04/005	2	622,13	70	8,5	69,42
04/005	3	622,13	70	8,5	69,42
04/005	4	622,13	74	8,5	81,51
04/005	5	622,13	74	8,5	81,51
04/005	6	622,13	74	8,5	81,51
04/005	7	741,58	78	16,5	75,52
04/005	8	741,58	78	16,5	75,52
04/005	9	741,58	78	16,5	75,52
04/005	10	741,58	82	16,5	62,43
04/005	11	741,58	82	16,5	62,43
04/005	12	741,58	82	16,5	62,43
04/006	1	765,26	70	8,5	64,45
04/006	2	765,26	70	8,5	64,45
04/006	3	765,26	70	8,5	64,45
04/006	4	765,26	74	8,5	68,03
04/006	5	765,26	74	8,5	68,03
04/006	6	765,26	74	8,5	68,03
04/006	7	806,1	78	16,5	81,94
04/006	8	806,1	78	16,5	81,94
04/006	9	806,1	78	16,5	81,94
04/006	10	806,1	82	16,5	63,78
04/006	11	806,1	82	16,5	63,78
04/006	12	806,1	82	16,5	63,78
04/007	1	655,15	70	8,5	79,23
04/007	2	655,15	70	8,5	79,23
04/007	3	655,15	70	8,5	79,23
04/007	4	655,15	74	8,5	72,96
04/007	5	655,15	74	8,5	72,96
04/007	6	655,15	74	8,5	72,96
04/007	7	806,5	78	16,5	78,95
04/007	8	806,5	78	16,5	78,95
04/007	9	806,5	78	16,5	78,95
04/007	10	806,5	82	16,5	87,64
04/007	11	806,5	82	16,5	87,64
04/007	12	806,5	82	16,5	87,64
04/008	1	679,54	70	8,5	66,79
04/008	2	679,54	70	8,5	66,79
04/008	3	679,54	70	8,5	66,79
04/008	4	679,54	74	8,5	64,43
04/008	5	679,54	74	8,5	64,43
04/008	6	679,54	74	8,5	64,43
04/008	7	762,47	78	16,5	88,44
04/008	8	762,47	78	16,5	88,44
04/008	9	762,47	78	16,5	88,44
04/008	10	762,47	82	16,5	61,36
04/008	11	762,47	82	16,5	61,36
04/008	12	762,47	82	16,5	61,36
04/009	1	610	70	8,5	75,59
04/009	2	610	70	8,5	75,59
04/009	3	610	70	8,5	75,59
04/009	4	610	74	8,5	85
04/009	5	610	74	8,5	85
04/009	6	610	74	8,5	85
04/009	7	748,44	78	16,5	82,29
04/009	8	748,44	78	16,5	82,29
04/009	9	748,44	78	16,5	82,29
04/009	10	748,44	82	16,5	66,6
04/009	11	748,44	82	16,5	66,6
04/009	12	748,44	82	16,5	66,6
04/010	1	694,63	70	8,5	74,97
04/010	2	694,63	70	8,5	74,97
04/010	3	694,63	70	8,5	74,97
04/010	4	694,63	74	8,5	79,82
04/010	5	694,63	74	8,5	79,82
04/010	6	694,63	74	8,5	79,82
04/010	7	771,98	78	16,5	72,81
04/010	8	771,98	78	16,5	72,81
04/010	9	771,98	78	16,5	72,81
04/010	10	771,98	82	16,5	81,38
04/010	11	771,98	82	16,5	81,38
04/010	12	771,98	82	16,5	81,38
04/011	1	637,19	70	8,5	84,97
04/011	2	637,19	70	8,5	84,97
04/011	3	637,19	70	8,5	84,97
04/011	4	637,19	74	8,5	79,73
04/011	5	637,19	74	8,5	79,73
04/011	6	637,19	74	8,5	79,73
04/011	7	792,08	78	16,5	89,97
04/011	8	792,08	78	16,5	89,97
04/011	9	792,08	78	16,5	89,97
04/011	10	792,08	82	16,5	77,13
04/011	11	792,08	82	16,5	77,13
04/011	12	792,08	82	16,5	77,13
04/012	1	763,7	70	8,5	69,5
04/012	2	763,7	70	8,5	69,5
04/012	3	763,7	70	8,5	69,5
04/012	4	763,7	74	8,5	74,28
04/012	5	763,7	74	8,5	74,28
04/012	6	763,7	74	8,5	74,28
04/012	7	843,45	78	16,5	63,26
04/012	8	843,45	78	16,5	63,26
04/012	9	843,45	78	16,5	63,26
04/012	10	843,45	82	16,5	88,13
04/012	11	843,45	82	16,5	88,13
04/012	12	843,45	82	16,5	88,13
04/013	1	750,91	70	8,5	78,91
04/013	2	750,91	70	8,5	78,91
04/013	3	750,91	70	8,5	78,91
04/013	4	750,91	74	8,5	64,44
04/013	5	750,91	74	8,5	64,44
04/013	6	750,91	74	8,5	64,44
04/013	7	798,52	78	16,5	86,47
04/013	8	798,52	78	16,5	86,47
04/013	9	798,52	78	16,5	86,47
04/013	10	798,52	82	16,5	67,08
04/013	11	798,52	82	16,5	67,08
04/013	12	798,52	82	16,5	67,08
04/014	1	679,18	70	8,5	65,61
04/014	2	679,18	70	8,5	65,61
04/014	3	679,18	70	8,5	65,61
04/014	4	679,18	74	8,5	86,12
04/014	5	679,18	74	8,5	86,12
04/014	6	679,18	74	8,5	86,12
04/014	7	741,87	78	16,5	73,58
04/014	8	741,87	78	16,5	73,58
04/014	9	741,87	78	16,5	73,58
04/014	10	741,87	82	16,5	82,67
04/014	11	741,87	82	16,5	82,67
04/014	12	741,87	82	16,5	82,67
04/015	1	769,44	70	8,5	60,5
04/015	2	769,44	70	8,5	60,5
04/015	3	769,44	70	8,5	60,5
04/015	4	769,44	74	8,5	80,59
04/015	5	769,44	74	8,5	80,59
04/015	6	769,44	74	8,5	80,59
04/015	7	885,83	78	16,5	82,85
04/015	8	885,83	78	16,5	82,85
04/015	9	885,83	78	16,5	82,85
04/015	10	885,83	82	16,5	64,48
04/015	11	885,83	82	16,5	64,48
04/015	12	885,83	82	16,5	64,48
05/001	1	629,07	45	9	79,36
05/001	2	629,07	45	9	79,36
05/001	3	629,07	45	9	79,36
05/001	4	629,07	60	9	73,57
05/001	5	629,07	60	9	73,57
05/001	6	629,07	60	9	73,57
05/001	7	684,84	70	16	77,88
05/001	8	684,84	70	16	77,88
05/001	9	684,84	70	16	77,88
05/001	10	684,84	85	16	87,33
05/001	11	684,84	85	16	87,33
05/001	12	684,84	85	16	87,33
05/002	1	658,26	45	9	66,76
05/002	2	658,26	45	9	66,76
05/002	3	658,26	45	9	66,76
05/002	4	658,26	60	9	64,76
05/002	5	658,26	60	9	64,76
05/002	6	658,26	60	9	64,76
05/002	7	760,86	70	16	75,97
05/002	8	760,86	70	16	75,97
05/002	9	760,86	70	16	75,97
05/002	10	760,86	85	16	70,85
05/002	11	760,86	85	16	70,85
05/002	12	760,86	85	16	70,85
05/003	1	708,4	45	9	77,95
05/003	2	708,4	45	9	77,95
05/003	3	708,4	45	9	77,95
05/003	4	708,4	60	9	76,82
05/003	5	708,4	60	9	76,82
05/003	6	708,4	60	9	76,82
05/003	7	820,42	70	16	69,79
05/003	8	820,42	70	16	69,79
05/003	9	820,42	70	16	69,79
05/003	10	820,42	85	16	85,08
05/003	11	820,42	85	16	85,08
05/003	12	820,42	85	16	85,08
05/004	1	707,65	45	9	60,44
05/004	2	707,65	45	9	60,44
05/004	3	707,65	45	9	60,44
05/004	4	707,65	60	9	70,32
05/004	5	707,65	60	9	70,32
05/004	6	707,65	60	9	70,32
05/004	7	896,93	70	16	60,11
05/004	8	896,93	70	16	60,11
05/004	9	896,93	70	16	60,11
05/004	10	896,93	85	16	65,58
05/004	11	896,93	85	16	65,58
05/004	12	896,93	85	16	65,58
05/005	1	688,77	45	9	71,66
05/005	2	688,77	45	9	71,66
05/005	3	688,77	45	9	71,66
05/005	4	688,77	60	9	66,28
05/005	5	688,77	60	9	66,28
05/005	6	688,77	60	9	66,28
05/005	7	766,01	70	16	70,71
05/005	8	766,01	70	16	70,71
05/005	9	766,01	70	16	70,71
05/005	10	766,01	85	16	75,75
05/005	11	766,01	85	16	75,75
05/005	12	766,01	85	16	75,75
05/006	1	672,84	45	9	80,69
05/006	2	672,84	45	9	80,69
05/006	3	672,84	45	9	80,69
05/006	4	672,84	60	9	77,57
05/006	5	672,84	60	9	77,57
05/006	6	672,84	60	9	77,57
05/006	7	722,2	70	16	79,8
05/006	8	722,2	70	16	79,8
05/006	9	722,2	70	16	79,8
05/006	10	722,2	85	16	68,16
05/006	11	722,2	85	16	68,16
05/006	12	722,2	85	16	68,16
05/007	1	705,74	45	9	80,33
05/007	2	705,74	45	9	80,33
05/007	3	705,74	45	9	80,33
05/007	4	705,74	60	9	85,68
05/007	5	705,74	60	9	85,68
05/007	6	705,74	60	9	85,68
05/007	7	730,5	70	16	83,05
05/007	8	730,5	70	16	83,05
05/007	9	730,5	70	16	83,05
05/007	10	730,5	85	16	60
05/007	11	730,5	85	16	60
05/007	12	730,5	85	16	60
05/008	1	634,01	45	9	77,53
05/008	2	634,01	45	9	77,53
05/008	3	634,01	45	9	77,53
05/008	4	634,01	60	9	67,54
05/008	5	634,01	60	9	67,54
05/008	6	634,01	60	9	67,54
05/008	7	739,29	70	16	68,78
05/008	8	739,29	70	16	68,78
05/008	9	739,29	70	16	68,78
05/008	10	739,29	85	16	82,03
05/008	11	739,29	85	16	82,03
05/008	12	739,29	85	16	82,03
05/009	1	660,02	45	9	78,6
05/009	2	660,02	45	9	78,6
05/009	3	660,02	45	9	78,6
05/009	4	660,02	60	9	67,32
05/009	5	660,02	60	9	67,32
05/009	6	660,02	60	9	67,32
05/009	7	771,73	70	16	76,75
05/009	8	771,73	70	16	76,75
05/009	9	771,73	70	16	76,75
05/009	10	771,73	85	16	79,28
05/009	11	771,73	85	16	79,28
05/009	12	771,73	85	16	79,28
05/010	1	610,49	45	9	76,17
05/010	2	610,49	45	9	76,17
05/010	3	610,49	45	9	76,17
05/010	4	610,49	60	9	64,28
05/010	5	610,49	60	9	64,28
05/010	6	610,49	60	9	64,28
05/010	7	643,25	70	16	77,88
05/010	8	643,25	70	16	77,88
05/010	9	643,25	70	16	77,88
05/010	10	643,25	85	16	72,31
05/010	11	643,25	85	16	72,31
05/010	12	643,25	85	16	72,31
05/011	1	635,81	45	9	69,6
05/011	2	635,81	45	9	69,6
05/011	3	635,81	45	9	69,6
05/011	4	635,81	60	9	61,1
05/011	5	635,81	60	9	61,1
05/011	6	635,81	60	9	61,1
05/011	7	723,22	70	16	77,34
05/011	8	723,22	70	16	77,34
05/011	9	723,22	70	16	77,34
05/011	10	723,22	85	16	97,81
05/011	11	723,22	85	16	97,81
05/011	12	723,22	85	16	97,81
05/012	1	637,83	45	9	63,43
05/012	2	637,83	45	9	63,43
05/012	3	637,83	45	9	63,43
05/012	4	637,83	60	9	60,89
05/012	5	637,83	60	9	60,89
05/012	6	637,83	60	9	60,89
05/012	7	718,28	70	16	103,05
05/012	8	718,28	70	16	103,05
05/012	9	718,28	70	16	103,05
05/012	10	718,28	85	16	86,45
05/012	11	718,28	85	16	86,45
05/012	12	718,28	85	16	86,45
05/013	1	653,98	45	9	99,34
05/013	2	653,98	45	9	99,34
05/013	3	653,98	45	9	99,34
05/013	4	653,98	60	9	64,84
05/013	5	653,98	60	9	64,84
05/013	6	653,98	60	9	64,84
05/013	7	770,85	70	16	105,39
05/013	8	770,85	70	16	105,39
05/013	9	770,85	70	16	105,39
05/013	10	770,85	85	16	74,71
05/013	11	770,85	85	16	74,71
05/013	12	770,85	85	16	74,71
05/014	1	723,99	45	9	72,47
05/014	2	723,99	45	9	72,47
05/014	3	723,99	45	9	72,47
05/014	4	723,99	60	9	83,92
05/014	5	723,99	60	9	83,92
05/014	6	723,99	60	9	83,92
05/014	7	898,66	70	16	98,07
05/014	8	898,66	70	16	98,07
05/014	9	898,66	70	16	98,07
05/014	10	898,66	85	16	103,24
05/014	11	898,66	85	16	103,24
05/014	12	898,66	85	16	103,24
05/015	1	666,09	45	9	66,55
05/015	2	666,09	45	9	66,55
05/015	3	666,09	45	9	66,55
05/015	4	666,09	60	9	65,91
05/015	5	666,09	60	9	65,91
05/015	6	666,09	60	9	65,91
05/015	7	795,14	70	16	85,98
05/015	8	795,14	70	16	85,98
05/015	9	795,14	70	16	85,98
05/015	10	795,14	85	16	95,03
05/015	11	795,14	85	16	95,03
05/015	12	795,14	85	16	95,03
05/016	1	663,18	45	9	81,08
05/016	2	663,18	45	9	81,08
05/016	3	663,18	45	9	81,08
05/016	4	663,18	60	9	72,73
05/016	5	663,18	60	9	72,73
05/016	6	663,18	60	9	72,73
05/016	7	752,27	70	16	65,23
05/016	8	752,27	70	16	65,23
05/016	9	752,27	70	16	65,23
05/016	10	752,27	85	16	84,79
05/016	11	752,27	85	16	84,79
05/016	12	752,27	85	16	84,79
05/017	1	615,59	45	9	76
05/017	2	615,59	45	9	76
05/017	3	615,59	45	9	76
05/017	4	615,59	60	9	103,19
05/017	5	615,59	60	9	103,19
05/017	6	615,59	60	9	103,19
05/017	7	666,52	70	16	69,47
05/017	8	666,52	70	16	69,47
05/017	9	666,52	70	16	69,47
05/017	10	666,52	85	16	88,4
05/017	11	666,52	85	16	88,4
05/017	12	666,52	85	16	88,4
05/018	1	645,58	45	9	83,7
05/018	2	645,58	45	9	83,7
05/018	3	645,58	45	9	83,7
05/018	4	645,58	60	9	81,14
05/018	5	645,58	60	9	81,14
05/018	6	645,58	60	9	81,14
05/018	7	657,2	70	16	77,24
05/018	8	657,2	70	16	77,24
05/018	9	657,2	70	16	77,24
05/018	10	657,2	85	16	62,65
05/018	11	657,2	85	16	62,65
05/018	12	657,2	85	16	62,65
05/019	1	780,96	45	9	74,87
05/019	2	780,96	45	9	74,87
05/019	3	780,96	45	9	74,87
05/019	4	780,96	60	9	92,11
05/019	5	780,96	60	9	92,11
05/019	6	780,96	60	9	92,11
05/019	7	866,34	70	16	86,56
05/019	8	866,34	70	16	86,56
05/019	9	866,34	70	16	86,56
05/019	10	866,34	85	16	107,79
05/019	11	866,34	85	16	107,79
05/019	12	866,34	85	16	107,79
05/020	1	666,11	45	9	71,22
05/020	2	666,11	45	9	71,22
05/020	3	666,11	45	9	71,22
05/020	4	666,11	60	9	89,67
05/020	5	666,11	60	9	89,67
05/020	6	666,11	60	9	89,67
05/020	7	786,81	70	16	73,26
05/020	8	786,81	70	16	73,26
05/020	9	786,81	70	16	73,26
05/020	10	786,81	85	16	77,94
05/020	11	786,81	85	16	77,94
05/020	12	786,81	85	16	77,94
06/001	1	761,83	55	7,6	70,65
06/001	2	761,83	55	7,6	70,65
06/001	3	761,83	55	7,6	70,65
06/001	4	761,83	68	7,6	73,93
06/001	5	761,83	68	7,6	73,93
06/001	6	761,83	68	7,6	73,93
06/001	7	802,41	72	17,5	85,92
06/001	8	802,41	72	17,5	85,92
06/001	9	802,41	72	17,5	85,92
06/001	10	802,41	80	17,5	89,91
06/001	11	802,41	80	17,5	89,91
06/001	12	802,41	80	17,5	89,91
06/002	1	613,57	55	7,6	80,88
06/002	2	613,57	55	7,6	80,88
06/002	3	613,57	55	7,6	80,88
06/002	4	613,57	68	7,6	93,92
06/002	5	613,57	68	7,6	93,92
06/002	6	613,57	68	7,6	93,92
06/002	7	883,63	72	17,5	86,08
06/002	8	883,63	72	17,5	86,08
06/002	9	883,63	72	17,5	86,08
06/002	10	883,63	80	17,5	73,72
06/002	11	883,63	80	17,5	73,72
06/002	12	883,63	80	17,5	73,72
06/003	1	622,35	55	7,6	77,17
06/003	2	622,35	55	7,6	77,17
06/003	3	622,35	55	7,6	77,17
06/003	4	622,35	68	7,6	102,35
06/003	5	622,35	68	7,6	102,35
06/003	6	622,35	68	7,6	102,35
06/003	7	822,66	72	17,5	81,74
06/003	8	822,66	72	17,5	81,74
06/003	9	822,66	72	17,5	81,74
06/003	10	822,66	80	17,5	103,91
06/003	11	822,66	80	17,5	103,91
06/003	12	822,66	80	17,5	103,91
06/004	1	639,77	55	7,6	91,87
06/004	2	639,77	55	7,6	91,87
06/004	3	639,77	55	7,6	91,87
06/004	4	639,77	68	7,6	90,91
06/004	5	639,77	68	7,6	90,91
06/004	6	639,77	68	7,6	90,91
06/004	7	798,76	72	17,5	108,95
06/004	8	798,76	72	17,5	108,95
06/004	9	798,76	72	17,5	108,95
06/004	10	798,76	80	17,5	84,04
06/004	11	798,76	80	17,5	84,04
06/004	12	798,76	80	17,5	84,04
06/005	1	651,08	55	7,6	69,54
06/005	2	651,08	55	7,6	69,54
06/005	3	651,08	55	7,6	69,54
06/005	4	651,08	68	7,6	73,61
06/005	5	651,08	68	7,6	73,61
06/005	6	651,08	68	7,6	73,61
06/005	7	887,27	72	17,5	87,24
06/005	8	887,27	72	17,5	87,24
06/005	9	887,27	72	17,5	87,24
06/005	10	887,27	80	17,5	95,62
06/005	11	887,27	80	17,5	95,62
06/005	12	887,27	80	17,5	95,62
06/006	1	780,58	55	7,6	77,14
06/006	2	780,58	55	7,6	77,14
06/006	3	780,58	55	7,6	77,14
06/006	4	780,58	68	7,6	92,4
06/006	5	780,58	68	7,6	92,4
06/006	6	780,58	68	7,6	92,4
06/006	7	807,45	72	17,5	86,25
06/006	8	807,45	72	17,5	86,25
06/006	9	807,45	72	17,5	86,25
06/006	10	807,45	80	17,5	70,46
06/006	11	807,45	80	17,5	70,46
06/006	12	807,45	80	17,5	70,46
06/007	1	775,18	55	7,6	73,65
06/007	2	775,18	55	7,6	73,65
06/007	3	775,18	55	7,6	73,65
06/007	4	775,18	68	7,6	108,95
06/007	5	775,18	68	7,6	108,95
06/007	6	775,18	68	7,6	108,95
06/007	7	809,25	72	17,5	70,06
06/007	8	809,25	72	17,5	70,06
06/007	9	809,25	72	17,5	70,06
06/007	10	809,25	80	17,5	79,27
06/007	11	809,25	80	17,5	79,27
06/007	12	809,25	80	17,5	79,27
06/008	1	671,28	55	7,6	80,71
06/008	2	671,28	55	7,6	80,71
06/008	3	671,28	55	7,6	80,71
06/008	4	671,28	68	7,6	89,25
06/008	5	671,28	68	7,6	89,25
06/008	6	671,28	68	7,6	89,25
06/008	7	854,27	72	17,5	77,58
06/008	8	854,27	72	17,5	77,58
06/008	9	854,27	72	17,5	77,58
06/008	10	854,27	80	17,5	95,2
06/008	11	854,27	80	17,5	95,2
06/008	12	854,27	80	17,5	95,2
06/009	1	620,59	55	7,6	77,99
06/009	2	620,59	55	7,6	77,99
06/009	3	620,59	55	7,6	77,99
06/009	4	620,59	68	7,6	100,8
06/009	5	620,59	68	7,6	100,8
06/009	6	620,59	68	7,6	100,8
06/009	7	709,89	72	17,5	82,93
06/009	8	709,89	72	17,5	82,93
06/009	9	709,89	72	17,5	82,93
06/009	10	709,89	80	17,5	105,24
06/009	11	709,89	80	17,5	105,24
06/009	12	709,89	80	17,5	105,24
06/010	1	739,18	55	7,6	89,63
06/010	2	739,18	55	7,6	89,63
06/010	3	739,18	55	7,6	89,63
06/010	4	739,18	68	7,6	92,82
06/010	5	739,18	68	7,6	92,82
06/010	6	739,18	68	7,6	92,82
06/010	7	885,11	72	17,5	93,01
06/010	8	885,11	72	17,5	93,01
06/010	9	885,11	72	17,5	93,01
06/010	10	885,11	80	17,5	97,27
06/010	11	885,11	80	17,5	97,27
06/010	12	885,11	80	17,5	97,27
