lp;czas;nr rej
1070;06:33:40;AA4303
1071;06:33:44;BC9834
1072;06:33:48;CC7452
1073;06:34:00;AA5792
1074;06:34:09;BC6718
1075;06:34:19;CC1368
1076;06:34:26;BC2266
1077;06:34:28;BA9521
1078;06:34:39;CB5679
1079;06:34:47;AA1873
1080;06:34:49;CB7158
1081;06:35:03;CB5855
1082;06:35:16;CC4055
1083;06:35:26;CA6736
1084;06:35:39;BA9884
1085;06:35:44;BB5665
1086;06:35:56;CA8441
1087;06:36:03;AB1973
1088;06:36:07;BA5512
1089;06:36:16;CA5246
1090;06:36:20;BA5905
1091;06:36:21;BB3878
1092;06:36:25;AB3098
1093;06:36:30;BA9066
1094;06:36:35;AC5312
1095;06:36:42;BC6760
1096;06:36:55;BC6488
1097;06:37:08;AB1209
1098;06:37:11;BA1843
1099;06:37:14;CB7254
1100;06:37:22;BC6845
1101;06:37:24;AA3657
1102;06:37:34;CC8950
1103;06:37:35;CB7247
1104;06:37:50;AA7854
1105;06:37:52;AB6213
1106;06:38:07;AC2251
1107;06:38:12;CB6493
1108;06:38:19;AA7213
1109;06:38:32;CC2253
1110;06:38:34;CC4348
1111;06:38:48;AA4657
1112;06:38:54;CA4011
1113;06:39:01;AC3048
1114;06:39:07;AA1196
1115;06:39:16;CB5892
1116;06:39:24;BB4596
1117;06:39:31;CA2671
1118;06:39:40;AA5282
1119;06:39:52;AA2053
1120;06:39:53;CC6523
1121;06:40:07;CA9638
1122;06:40:11;BC9154
1123;06:40:26;CC5004
1124;06:40:33;CB5917
1125;06:40:44;CC3579
1126;06:40:49;BB2875
1127;06:41:01;AA7000
1128;06:41:05;BB6203
1129;06:41:09;CC6745
1130;06:41:18;BB9475
1131;06:41:29;CC1762
1132;06:41:44;CC6040
1133;06:41:51;CB2314
1134;06:41:57;AA9457
1135;06:42:10;AA2022
1136;06:42:14;CC9755
1137;06:42:27;AB2280
1138;06:42:37;CC4729
1139;06:42:44;CB1162
1140;06:42:53;BB1521
1141;06:42:58;AA9847
1142;06:43:07;CA8387
1143;06:43:18;BA7893
1144;06:43:27;AC4199
1145;06:43:35;BC2800
1146;06:43:37;CB3406
1147;06:43:42;BC6828
1148;06:43:57;AC8719
1149;06:44:03;BB9049
1150;06:44:18;CC5071
1151;06:44:28;AC5599
1152;06:44:38;AB1129
1153;06:44:53;CC1739
1154;06:44:57;BA8311
1155;06:44:58;AB7498
1156;06:45:02;AC1877
1157;06:45:12;CC5105
1158;06:45:26;CA3411
1159;06:45:30;BC6704
1160;06:45:34;BA5046
1161;06:45:37;BB5574
1162;06:45:41;AA9480
1163;06:45:44;CC4930
1164;06:45:45;CA8885
1165;06:45:56;AA1655
1166;06:46:10;BC4020
1167;06:46:18;CA4231
1168;06:46:25;CB5183
1169;06:46:40;CB2716
1170;06:46:52;AC4529
1171;06:46:56;CC9984
1172;06:47:04;AC5571
1173;06:47:05;AA8772
1174;06:47:16;BA9770
1175;06:47:31;CB2806
1176;06:47:43;CC4492
1177;06:47:53;AB1564
1178;06:48:02;AA4080
1179;06:48:16;BA6064
1180;06:48:24;CC6914
1181;06:48:35;BA4890
1182;06:48:44;BA2917
1183;06:48:56;AA7524
1184;06:48:59;BB3323
1185;06:49:03;CA7411
1186;06:49:04;AA3631
1187;06:49:15;BA9820
1188;06:49:16;BB5240
1189;06:49:27;CB8482
1190;06:49:42;AA5424
1191;06:49:56;BB8180
1192;06:50:00;CC7062
1193;06:50:09;BB6018
1194;06:50:18;BC5862
1195;06:50:22;AC2090
1196;06:50:30;CA5000
1197;06:50:31;CA9928
1198;06:50:40;AA8226
1199;06:50:55;BA5974
1200;06:50:56;AB9064
1201;06:50:58;CA3967
1202;06:51:12;CA8139
1203;06:51:15;BB7450
1204;06:51:16;CA3423
1205;06:51:24;AC8344
1206;06:51:30;CC8111
1207;06:51:34;BC2581
1208;06:51:46;AB2506
1209;06:52:01;CB6435
1210;06:52:11;AC2546
1211;06:52:13;AA7840
1212;06:52:20;AB4324
1213;06:52:33;CC3474
1214;06:52:36;CC3503
1215;06:52:41;CA8651
1216;06:52:44;BB6975
1217;06:52:50;CA6937
1218;06:52:58;BB4415
1219;06:53:00;BB2426
1220;06:53:15;CB9291
1221;06:53:28;BA3479
1222;06:53:32;CC4593
1223;06:53:35;AA7873
1224;06:53:47;AB4109
1225;06:53:56;AA7060
1226;06:54:04;CC3603
1227;06:54:13;AA7047
1228;06:54:19;CB2316
1229;06:54:22;AC3125
1230;06:54:24;BB9261
1231;06:54:39;AB5808
1232;06:54:54;CA9480
1233;06:54:56;AA6052
1234;06:55:10;BC7928
1235;06:55:22;BB3123
1236;06:55:28;AB7878
1237;06:55:39;AB2987
1238;06:55:46;BA7380
1239;06:55:57;AA9698
1240;06:56:08;AB5481
1241;06:56:09;CB4258
1242;06:56:18;BB8722
1243;06:56:21;CA5781
1244;06:56:36;AC5541
1245;06:56:50;CC4965
1246;06:56:58;AC1712
1247;06:57:09;CB2873
1248;06:57:10;CB8147
1249;06:57:11;AB3228
1250;06:57:26;AB3068
1251;06:57:37;CA6754
1252;06:57:48;BB5799
1253;06:58:01;BA2627
1254;06:58:16;BC6967
1255;06:58:28;AC7785
1256;06:58:37;BA4025
1257;06:58:44;BC4969
1258;06:58:53;AB7257
1259;06:59:06;BB2676
1260;06:59:14;CC5384
1261;06:59:15;AA5900
1262;06:59:24;AA1115
1263;06:59:27;CB9254
1264;06:59:32;BC8266
1265;06:59:45;AB8482
1266;06:59:58;BB3689
1267;06:59:59;CB6620
1268;07:00:01;CA9634
1269;07:00:04;BC2773
1270;07:00:11;BB3689
1271;07:00:22;BA2531
1272;07:00:30;BC5738
1273;07:00:39;CC4813
1274;07:00:46;AA6161
1275;07:00:52;BA1281
1276;07:00:58;BB8569
1277;07:01:10;BA3993
1278;07:01:12;AA6329
1279;07:01:15;CA1112
1280;07:01:20;CA3459
1281;07:01:32;AB2856
1282;07:01:33;BB9068
1283;07:01:45;CC5629
1284;07:01:49;BC8229
1285;07:01:54;CC1660
1286;07:01:59;CA8204
1287;07:02:01;BC5530
1288;07:02:15;BC4505
1289;07:02:27;AC7939
1290;07:02:42;BC2976
1291;07:02:54;AC7247
1292;07:03:09;BC7945
1293;07:03:19;AC7981
1294;07:03:21;BA1273
1295;07:03:35;AC5506
1296;07:03:45;CC9458
1297;07:03:59;BB9682
1298;07:04:01;CA2451
1299;07:04:03;AB5751
1300;07:04:18;BB5570
1301;07:04:19;BA5121
1302;07:04:28;AA8616
1303;07:04:42;CA5575
1304;07:04:46;BA8595
1305;07:04:49;BA4437
1306;07:04:59;AB8072
1307;07:05:14;BB2535
1308;07:05:21;BA8652
1309;07:05:26;CC9749
1310;07:05:27;AA1823
1311;07:05:35;CA7334
1312;07:05:45;BC1400
1313;07:05:51;AB6642
1314;07:06:05;AC6335
1315;07:06:13;BB5383
1316;07:06:19;BB6720
1317;07:06:27;CB6625
1318;07:06:36;AA1482
1319;07:06:40;AC5155
1320;07:06:51;CC4879
1321;07:06:59;CA8507
1322;07:07:04;BA9472
1323;07:07:07;BC8801
1324;07:07:13;BC5904
1325;07:07:28;BA4528
1326;07:07:39;BB8619
1327;07:07:44;AA2854
1328;07:07:47;CB4860
1329;07:07:48;CC5151
1330;07:08:03;BB9250
1331;07:08:18;CC6346
1332;07:08:24;AA2890
1333;07:08:30;BA5453
1334;07:08:34;CC2090
1335;07:08:39;AA9682
1336;07:08:40;BC6590
1337;07:08:42;BC9755
1338;07:08:49;AC2600
1339;07:09:04;CA9914
1340;07:09:09;BB1443
1341;07:09:12;BC3507
1342;07:09:14;AB2774
1343;07:09:16;AA3948
1344;07:09:25;CA7202
1345;07:09:28;AA3320
1346;07:09:37;CC7703
1347;07:09:46;BA9608
1348;07:09:58;BA6911
1349;07:10:04;CA7344
1350;07:10:19;BB1832
1351;07:10:30;AB8900
1352;07:10:40;BC4852
1353;07:10:46;BA5348
1354;07:10:53;AA8427
1355;07:10:55;BC3030
1356;07:11:01;BB1803
1357;07:11:04;BC1692
1358;07:11:08;AA3532
1359;07:11:17;CC6292
1360;07:11:32;BC8464
1361;07:11:45;CC1585
1362;07:11:53;BC7273
1363;07:12:08;CB4376
1364;07:12:22;BC9479
1365;07:12:26;AA6846
1366;07:12:30;BA6832
1367;07:12:43;AA7367
1368;07:12:57;CB2926
1369;07:13:06;BC6167
1370;07:13:09;BA7883
1371;07:13:12;AA3919
1372;07:13:13;AA1915
1373;07:13:16;AC5373
1374;07:13:22;CC2163
1375;07:13:23;BA3105
1376;07:13:31;CC8536
1377;07:13:42;AB1681
1378;07:13:55;BA7029
1379;07:14:03;AB5327
1380;07:14:13;AA2322
1381;07:14:14;BB8032
1382;07:14:15;BB4297
1383;07:14:20;BA2008
1384;07:14:21;AB1647
1385;07:14:36;CA9766
1386;07:14:42;BC9770
1387;07:14:46;BB5015
1388;07:14:53;CA2094
1389;07:15:03;AB2950
1390;07:15:12;AA9796
1391;07:15:17;CC9972
1392;07:15:27;CA4752
1393;07:15:30;BA9545
1394;07:15:34;AA4549
1395;07:15:42;BB5066
1396;07:15:56;CA9751
1397;07:16:03;AA2961
1398;07:16:16;CC9258
1399;07:16:22;CA1845
1400;07:16:36;BB5599
1401;07:16:46;BB5425
1402;07:17:01;BB7608
1403;07:17:08;CB7912
1404;07:17:20;AA9490
1405;07:17:34;CB3222
1406;07:17:47;CB9603
1407;07:18:01;CC4148
1408;07:18:11;BC4123
1409;07:18:13;CB9950
1410;07:18:15;BB2935
1411;07:18:19;AC7448
1412;07:18:32;BA4218
1413;07:18:40;CB3633
1414;07:18:45;BB1549
1415;07:18:51;CB6155
1416;07:19:03;AB6129
1417;07:19:18;CC8170
1418;07:19:27;AA1331
1419;07:19:30;CC6962
1420;07:19:40;BC3995
1421;07:19:46;AB1919
1422;07:20:01;AC9193
1423;07:20:05;BC9249
1424;07:20:17;AA1414
1425;07:20:20;CA8257
1426;07:20:31;CC2263
1427;07:20:34;BC6860
1428;07:20:44;CA1489
1429;07:20:57;CB8558
1430;07:21:06;AA7700
1431;07:21:16;AC7784
1432;07:21:24;BB9471
1433;07:21:32;BB7650
1434;07:21:45;CB1561
1435;07:22:00;AB2682
1436;07:22:05;AB6704
1437;07:22:11;CC9485
1438;07:22:13;CC4756
1439;07:22:15;CA2500
1440;07:22:18;AA6741
1441;07:22:24;BB1722
1442;07:22:37;AA9379
1443;07:22:52;BA3613
1444;07:23:03;BB3392
1445;07:23:16;AC1640
1446;07:23:29;AA2858
1447;07:23:32;BB9151
1448;07:23:47;AC5440
1449;07:24:02;BC9684
1450;07:24:17;BC9887
1451;07:24:25;AB6237
1452;07:24:36;CB5562
1453;07:24:37;AA2503
1454;07:24:39;BB3088
1455;07:24:50;BA3952
1456;07:24:56;AB3340
1457;07:25:09;AC4467
1458;07:25:10;BC3825
1459;07:25:17;AB3167
1460;07:25:26;AA3944
1461;07:25:34;AC6722
1462;07:25:35;AB8394
1463;07:25:38;AB8563
1464;07:25:48;AA2499
1465;07:25:50;CB9740
1466;07:26:01;BC6930
1467;07:26:03;BC5126
1468;07:26:17;BA1068
1469;07:26:21;AB1196
1470;07:26:23;CA2085
1471;07:26:30;CC6994
1472;07:26:44;CC9036
1473;07:26:59;CA9708
1474;07:27:14;CA7132
1475;07:27:22;CA6283
1476;07:27:27;AB7838
1477;07:27:35;BC2742
1478;07:27:47;BA5753
1479;07:27:52;AA5859
1480;07:28:07;BB2375
1481;07:28:17;CC4203
1482;07:28:27;AA7603
1483;07:28:35;CB2724
1484;07:28:40;AB3146
1485;07:28:44;CB5673
1486;07:28:52;CA3176
1487;07:28:53;CB4233
1488;07:28:58;AC3661
1489;07:29:05;BB3879
1490;07:29:09;AA2632
1491;07:29:20;CC7499
1492;07:29:22;CC9508
1493;07:29:29;AB3203
1494;07:29:36;CB4816
1495;07:29:47;AA6140
1496;07:29:59;AC7698
1497;07:30:07;AB7010
1498;07:30:10;BB6665
1499;07:30:22;AA5520
1500;07:30:31;CC8897
1501;07:30:33;BA9301
1502;07:30:40;CC1709
1503;07:30:43;CC4713
1504;07:30:54;AC5711
1505;07:31:07;BA6026
1506;07:31:13;BA1478
1507;07:31:21;CC9962
1508;07:31:32;BC9242
1509;07:31:39;CC9067
1510;07:31:40;CB1740
1511;07:31:55;CB5758
1512;07:32:04;CA5594
1513;07:32:14;BA2840
1514;07:32:26;CB4050
1515;07:32:40;CC8286
1516;07:32:47;BC7905
1517;07:32:58;BA2902
1518;07:33:11;AC8997
1519;07:33:13;BB4408
1520;07:33:14;AC1366
1521;07:33:16;BB8674
1522;07:33:26;CC8859
1523;07:33:36;AB4470
1524;07:33:43;AC6281
1525;07:33:50;AC3069
1526;07:34:00;CC1774
1527;07:34:09;AB4662
1528;07:34:14;AC2742
1529;07:34:28;CB8861
1530;07:34:32;AC1154
1531;07:34:39;AA6712
1532;07:34:42;BC5815
1533;07:34:56;BC8707
1534;07:35:04;AA7631
1535;07:35:09;CB1383
1536;07:35:10;BC7262
1537;07:35:14;CA8204
1538;07:35:23;AB6865
1539;07:35:27;AC5384
1540;07:35:29;CA8093
1541;07:35:41;AC7939
1542;07:35:49;CA6520
1543;07:35:57;AC7247
1544;07:36:01;CB8336
1545;07:36:16;AC7981
1546;07:36:24;CA3546
1547;07:36:26;AC5506
1548;07:36:29;CB3598
1549;07:36:32;AC8101
1550;07:36:37;BC1549
1551;07:36:47;AA9358
1552;07:36:49;BB5482
1553;07:36:54;CB5592
1554;07:37:00;BA5702
1555;07:37:01;BA8444
1556;07:37:11;BB6905
1557;07:37:20;CC3295
1558;07:37:22;BC2414
1559;07:37:31;CA3193
1560;07:37:34;CC3775
1561;07:37:44;BA4333
1562;07:37:45;AA1597
1563;07:37:54;BA3419
1564;07:38:09;CB6958
1565;07:38:14;CC1918
1566;07:38:18;BC7839
1567;07:38:28;AB2022
1568;07:38:33;BC1239
1569;07:38:42;CB5879
1570;07:38:50;CB4330
1571;07:38:56;CA1948
1572;07:39:03;CC7321
1573;07:39:05;BA5739
1574;07:39:19;CA1847
1575;07:39:22;BC9342
1576;07:39:28;BB8538
1577;07:39:40;BC1368
1578;07:39:46;CA9568
1579;07:39:50;AA7179
1580;07:40:00;AB8618
1581;07:40:05;BA5080
1582;07:40:11;CC4778
1583;07:40:23;CA7325
1584;07:40:30;BA9583
1585;07:40:40;BB5467
1586;07:40:46;CB9297
1587;07:41:01;BB7015
1588;07:41:03;CB6963
1589;07:41:04;CA9237
1590;07:41:19;BB7042
1591;07:41:31;BB5626
1592;07:41:38;AA6729
1593;07:41:53;BA3541
1594;07:42:07;CB1526
1595;07:42:22;BB6838
1596;07:42:24;CC2431
1597;07:42:37;BB8002
1598;07:42:43;CB9311
1599;07:42:45;AC7708
1600;07:42:47;BB3788
1601;07:42:58;CB9357
1602;07:43:10;BB3972
1603;07:43:11;BB6049
1604;07:43:13;AA2360
1605;07:43:16;BA6516
1606;07:43:28;AA6814
1607;07:43:36;CB7662
1608;07:43:42;CC8886
1609;07:43:52;BC7015
1610;07:44:07;BA4552
1611;07:44:19;CC5515
1612;07:44:29;CB9494
1613;07:44:31;AC5001
1614;07:44:37;BA7797
1615;07:44:46;BC9732
1616;07:44:51;BC5935
1617;07:45:01;BC4112
1618;07:45:15;BA1604
1619;07:45:17;AC4223
1620;07:45:22;BA8971
1621;07:45:25;CB5184
1622;07:45:40;BA5600
1623;07:45:50;CC2749
1624;07:46:03;CB1041
1625;07:46:16;BA1760
1626;07:46:24;CC3437
1627;07:46:25;CA7318
1628;07:46:28;CB2745
1629;07:46:39;CA9514
1630;07:46:52;BB1060
1631;07:46:57;BA4554
1632;07:47:12;CB5164
1633;07:47:14;AA8913
1634;07:47:15;BC5642
1635;07:47:23;BB3571
1636;07:47:38;AC3769
1637;07:47:45;BA3240
1638;07:47:54;AB6949
1639;07:48:06;AB4499
1640;07:48:15;AB3357
1641;07:48:18;AC4085
1642;07:48:22;AB6244
1643;07:48:36;AB7419
1644;07:48:51;CB2211
1645;07:48:59;BC3371
1646;07:49:05;CA5335
1647;07:49:07;AC4861
1648;07:49:09;AC4007
1649;07:49:14;AB2471
1650;07:49:27;BB2995
1651;07:49:41;BC7654
1652;07:49:56;CB3650
1653;07:50:06;CB1776
1654;07:50:12;CB6453
1655;07:50:27;CC6648
1656;07:50:36;AA1253
1657;07:50:41;AC8334
1658;07:50:51;BB4702
1659;07:51:00;AB3956
1660;07:51:01;BB6771
1661;07:51:11;CA3876
1662;07:51:25;CA9413
1663;07:51:38;CB8847
1664;07:51:49;BA9930
1665;07:51:50;BC2925
1666;07:51:54;CB9472
1667;07:52:04;AA8960
1668;07:52:12;BC3979
1669;07:52:26;AA9135
1670;07:52:30;AB5415
1671;07:52:36;BB9295
1672;07:52:50;CA3729
1673;07:52:55;BC9059
1674;07:53:08;BC8427
1675;07:53:14;CC4337
1676;07:53:25;CB1451
1677;07:53:36;BB2215
1678;07:53:51;AA9236
1679;07:53:58;AA3227
1680;07:54:01;CC2611
1681;07:54:07;AA5889
1682;07:54:08;BB7783
1683;07:54:16;AA6131
1684;07:54:20;CB2164
1685;07:54:21;CC1210
1686;07:54:34;BA7454
1687;07:54:41;BA8307
1688;07:54:51;BB2011
1689;07:55:00;CB8321
1690;07:55:08;BB4476
1691;07:55:18;AA4419
1692;07:55:29;AC6483
1693;07:55:38;CB6473
1694;07:55:46;CA2875
1695;07:55:48;BC6134
1696;07:55:56;AC2967
1697;07:56:10;AC8333
1698;07:56:17;BC5897
1699;07:56:19;AC6788
1700;07:56:26;BB1131
1701;07:56:38;CA2223
1702;07:56:46;CA6226
1703;07:56:54;BA2768
1704;07:56:55;BA9449
1705;07:57:03;AA6367
1706;07:57:08;BB3609
1707;07:57:09;BC1703
1708;07:57:18;AB1006
1709;07:57:33;CA2561
1710;07:57:48;CA6080
1711;07:57:50;AC1661
1712;07:58:03;AA4428
1713;07:58:04;AB7478
1714;07:58:19;CC5155
1715;07:58:33;CB7187
1716;07:58:36;BA5064
1717;07:58:46;BC1273
1718;07:58:51;AB3466
1719;07:59:01;CC5068
1720;07:59:15;BC8869
1721;07:59:25;CB3269
1722;07:59:36;AB1340
1723;07:59:39;CB6545
1724;07:59:53;BB3689
1725;07:59:55;AC4456
1726;08:00:00;BC9281
1727;08:00:09;BB3689
1728;08:00:16;BA6998
1729;08:00:19;CC2639
1730;08:00:21;CA8204
1731;08:00:33;CA1273
1732;08:00:48;AC9133
1733;08:00:51;BC6431
1734;08:00:58;CC6924
1735;08:01:12;AC7939
1736;08:01:20;CC9310
1737;08:01:21;AC7247
1738;08:01:25;BB2241
1739;08:01:38;CB9504
1740;08:01:50;AC7981
1741;08:02:04;CC2454
1742;08:02:10;AC5506
1743;08:02:18;BC6586
1744;08:02:30;BA6233
1745;08:02:42;BB4771
1746;08:02:52;AB3608
1747;08:03:01;AC1536
1748;08:03:12;AC5942
1749;08:03:15;CB4591
1750;08:03:21;BB1510
1751;08:03:34;BA8251
1752;08:03:40;AB9359
1753;08:03:51;CC7712
1754;08:03:58;BB4792
1755;08:04:03;CB4564
1756;08:04:10;CB5255
1757;08:04:24;CA9803
1758;08:04:28;CC9433
1759;08:04:42;CA1190
1760;08:04:43;BB4069
1761;08:04:57;CA6681
1762;08:05:10;CB3876
1763;08:05:17;CA5677
1764;08:05:23;BB2489
1765;08:05:28;BA3674
1766;08:05:41;CC6956
1767;08:05:44;CB5735
1768;08:05:49;AC5023
1769;08:06:01;BB1703
1770;08:06:06;AB2137
1771;08:06:19;BB8035
1772;08:06:31;CC9304
1773;08:06:32;CB6038
1774;08:06:45;CB8643
1775;08:06:55;CC7688
1776;08:07:01;CB3747
1777;08:07:12;CC7727
1778;08:07:22;BC8060
1779;08:07:35;BC5857
1780;08:07:46;BC5928
1781;08:07:47;BA4672
1782;08:08:01;BB3217
1783;08:08:03;AC8798
1784;08:08:18;AB1733
1785;08:08:19;CC2258
1786;08:08:32;CA4917
1787;08:08:36;BC9884
1788;08:08:43;AB6474
1789;08:08:50;AB6742
1790;08:08:53;AA5565
1791;08:09:02;CA1058
1792;08:09:11;AC1777
1793;08:09:19;BB3242
1794;08:09:30;AA1276
1795;08:09:45;BA4515
1796;08:09:50;AC3844
1797;08:10:05;BA9746
1798;08:10:06;BA8847
1799;08:10:14;AA2758
1800;08:10:24;AB3029
1801;08:10:30;BA8558
1802;08:10:40;BB1384
1803;08:10:53;CA9482
1804;08:11:08;CB6122
1805;08:11:18;AB5379
1806;08:11:19;CC8555
1807;08:11:21;AC6594
1808;08:11:32;AC2759
1809;08:11:40;CC6087
1810;08:11:55;BB7602
1811;08:12:05;CB8140
1812;08:12:08;BB7595
1813;08:12:23;CA9945
1814;08:12:33;CC7534
1815;08:12:34;BA3324
1816;08:12:46;BA9442
1817;08:12:54;CC2058
1818;08:13:01;CB9020
1819;08:13:14;AB2753
1820;08:13:28;AC6723
1821;08:13:36;AB1231
1822;08:13:46;AC1632
1823;08:13:52;CC6849
1824;08:14:07;BC5970
1825;08:14:12;CC3279
1826;08:14:25;AB7281
1827;08:14:31;AC9176
1828;08:14:40;BB2772
1829;08:14:49;CC8430
1830;08:15:03;AA7028
1831;08:15:05;BB5143
1832;08:15:12;CA8397
1833;08:15:21;BA8031
1834;08:15:26;AB8049
1835;08:15:29;BC8808
1836;08:15:40;CB9971
1837;08:15:51;CC3591
1838;08:15:56;BC3394
1839;08:15:58;CA5617
1840;08:16:11;AC6894
1841;08:16:24;CB2910
1842;08:16:29;BC2066
1843;08:16:30;AA3594
1844;08:16:39;BC3510
1845;08:16:46;CB9664
1846;08:16:50;BC6017
1847;08:16:58;AA3058
1848;08:17:01;BC4076
1849;08:17:07;AB1367
1850;08:17:16;BC5621
1851;08:17:30;CB5937
1852;08:17:32;CB2725
1853;08:17:45;CA6306
1854;08:17:54;BA8048
1855;08:17:56;CA6339
1856;08:18:09;AA5394
1857;08:18:12;BB5019
1858;08:18:17;CA1862
1859;08:18:28;AC8588
1860;08:18:37;BB5068
1861;08:18:44;CC4512
1862;08:18:54;BB4780
1863;08:19:04;AA2754
1864;08:19:14;BB5565
1865;08:19:15;CA2103
1866;08:19:29;AC8029
1867;08:19:34;AA3485
1868;08:19:42;CC2628
1869;08:19:44;AA8413
1870;08:19:46;CA3332
1871;08:19:58;CA6787
1872;08:20:05;CB3544
1873;08:20:06;AA3450
1874;08:20:19;CA3962
1875;08:20:34;AC6852
1876;08:20:45;CA3144
1877;08:21:00;BA3231
1878;08:21:01;BA6640
1879;08:21:03;AC1588
1880;08:21:13;CB9683
1881;08:21:26;BA2299
1882;08:21:34;AC1445
1883;08:21:47;AA3439
1884;08:21:59;CC7217
1885;08:22:02;AA6385
1886;08:22:12;BB1283
1887;08:22:25;AA7718
1888;08:22:27;CB2388
1889;08:22:36;AA4217
1890;08:22:38;CB5534
1891;08:22:40;BB5798
1892;08:22:53;BB7586
1893;08:23:06;CB5073
1894;08:23:16;CC9698
1895;08:23:31;CA4139
1896;08:23:36;BC4673
1897;08:23:43;BA9523
1898;08:23:51;CB2657
1899;08:24:06;AC6422
1900;08:24:20;CB5581
1901;08:24:25;BA4104
1902;08:24:27;BA8711
1903;08:24:34;BB3732
1904;08:24:38;CA2393
1905;08:24:49;BB3627
1906;08:25:04;AB7608
1907;08:25:05;AA5519
1908;08:25:17;BC5301
1909;08:25:18;CB7131
1910;08:25:27;CA4680
1911;08:25:30;BB7008
1912;08:25:34;BC9566
1913;08:25:37;BC5428
1914;08:25:43;AA4461
1915;08:25:44;CA1455
1916;08:25:46;CB4864
1917;08:25:48;CC9094
1918;08:25:55;AC5429
1919;08:26:05;AA1680
1920;08:26:11;BA4319
1921;08:26:14;AC2527
1922;08:26:28;BC2787
1923;08:26:43;CB9543
1924;08:26:50;BB8912
1925;08:27:05;BC7940
1926;08:27:15;BB4166
1927;08:27:26;BA3280
1928;08:27:34;CB9111
1929;08:27:47;BB4991
1930;08:27:56;AA3750
1931;08:28:00;CC9923
1932;08:28:07;BC6263
1933;08:28:10;AA5178
1934;08:28:22;AB2106
1935;08:28:33;AB2627
1936;08:28:43;AA2971
1937;08:28:57;BB6863
1938;08:29:07;BA7932
1939;08:29:09;BC8488
1940;08:29:23;CB6439
1941;08:29:33;CC2474
1942;08:29:44;CB9067
1943;08:29:51;BA8448
1944;08:29:59;CA2827
1945;08:30:05;CA1772
1946;08:30:17;CA3104
1947;08:30:25;BA1681
1948;08:30:36;CC3541
1949;08:30:40;BB3224
1950;08:30:49;AB8867
1951;08:31:02;AB4084
1952;08:31:03;AA7828
1953;08:31:14;BC4040
1954;08:31:27;BB7658
1955;08:31:36;CC2743
1956;08:31:44;AA8868
1957;08:31:45;CC4687
1958;08:31:46;BA9611
1959;08:31:50;CA8652
1960;08:32:00;AC5673
1961;08:32:01;CC5756
1962;08:32:10;CC2592
1963;08:32:15;BB3304
1964;08:32:26;BC8192
1965;08:32:28;AA6869
1966;08:32:31;BA5184
1967;08:32:38;AC1176
1968;08:32:41;CA7501
1969;08:32:50;AA6221
1970;08:33:05;AA9557
1971;08:33:13;AC7832
1972;08:33:22;CC3039
1973;08:33:25;CB2480
1974;08:33:29;CC3114
1975;08:33:30;BC3114
1976;08:33:31;AA9789
1977;08:33:43;BB6918
1978;08:33:50;BA2929
1979;08:34:02;AC1886
1980;08:34:12;CC1577
1981;08:34:19;AC1835
1982;08:34:24;CC7147
1983;08:34:28;AA3033
1984;08:34:38;AC1642
1985;08:34:39;BA8015
1986;08:34:47;AC8148
1987;08:34:57;BB5006
1988;08:35:01;BA2496
1989;08:35:16;AB1023
1990;08:35:25;BA9430
1991;08:35:40;BC4156
1992;08:35:47;CA8204
1993;08:36:01;BB3593
1994;08:36:07;BB6201
1995;08:36:21;CA8910
1996;08:36:23;BB5680
1997;08:36:38;AC7939
1998;08:36:53;BA2492
1999;08:36:55;AC7247
2000;08:37:10;CB7957
2001;08:37:18;AC7981
2002;08:37:29;AA3196
2003;08:37:36;AC5506
2004;08:37:50;CA7571
2005;08:38:04;AC8795
2006;08:38:06;CC2653
2007;08:38:19;AC9666
2008;08:38:30;BB8793
2009;08:38:38;BA3514
2010;08:38:42;AC8567
2011;08:38:49;CA1494
2012;08:38:50;BA3604
2013;08:39:00;BA8531
2014;08:39:08;CB8402
2015;08:39:21;AC1423
2016;08:39:22;BC1448
2017;08:39:27;CA2705
2018;08:39:31;BB1534
2019;08:39:42;CC1375
2020;08:39:55;CB9754
2021;08:39:59;BA4684
2022;08:40:05;AB3631
2023;08:40:14;BC3945
2024;08:40:26;AC2146
2025;08:40:28;BC8584
2026;08:40:30;CC1829
2027;08:40:41;CA7049
2028;08:40:50;BC8478
2029;08:40:52;CA5446
2030;08:40:55;BC5076
2031;08:41:10;BC2957
2032;08:41:21;CB9436
2033;08:41:22;CB9636
2034;08:41:23;BB7707
2035;08:41:30;CA2307
2036;08:41:39;BB3962
2037;08:41:47;BA5338
2038;08:41:51;BA8861
2039;08:41:56;CC1295
2040;08:41:58;BA3801
2041;08:42:01;CB8215
2042;08:42:11;CB5443
2043;08:42:13;BA4661
2044;08:42:20;BC6096
2045;08:42:30;BB5063
2046;08:42:43;BA5128
2047;08:42:45;CA6573
2048;08:42:50;BB7234
2049;08:42:58;CB7581
2050;08:43:10;AB9363
2051;08:43:20;AC5582
2052;08:43:24;CA3353
2053;08:43:27;BB9547
2054;08:43:36;BB5795
2055;08:43:45;AB4599
2056;08:43:49;AC9946
2057;08:43:54;BB3830
2058;08:44:09;CB1904
2059;08:44:13;CA1617
2060;08:44:26;AA6478
2061;08:44:29;BA8662
2062;08:44:31;BC4681
2063;08:44:39;CB9278
2064;08:44:51;BC3753
2065;08:44:54;AA4286
2066;08:45:07;BB4576
2067;08:45:16;BC5521
2068;08:45:24;AC5911
